Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventTime,EventFile
3026.1133,2768.3752,2797.0972,2688.9819,52019.9063,51125.8828,66025.8906,41925.4766,3076.6282,3055.9526,3319.7703,3407.5010,66552.7656,53693.8281,47769.3438,42937.6563,3452.1597,1979.3363,3349.3193,33063.7930,41412.8633,44572.9102,91.691437,NaN,NaN,NaN
-3176.2051,-3226.2507,-3158.3909,-3305.8677,52051.4883,51435.5625,65836.9297,44120.4180,-2401.6055,3616.3110,-2934.9180,720.8214,66242.0078,53731.7148,47607.8047,45289.2813,354.6775,4714.2285,3686.5400,32456.1406,42752.7148,44365.7070,91.695435,NaN,NaN,NaN
198.3941,-131.5847,440.2846,-256.2851,52064.2305,51239.2266,65914.4844,43075.7422,1428.1647,3285.1921,1112.9827,2818.1301,66400.3438,53694.1172,47680.3594,44124.5977,2811.0894,3877.1782,3536.6716,32737.9277,42105.0742,44462.3359,91.699432,NaN,NaN,NaN
3727.5779,3459.2229,3579.9224,3223.4790,52044.8281,51045.6172,66042.0234,41655.3789,3265.9697,2936.7732,3889.8740,3426.9917,66605.2422,53677.4453,47790.2852,42613.4648,3512.4424,1817.0850,3296.7705,33136.8164,41229.9805,44599.2383,91.703430,NaN,NaN,NaN
2996.0278,2716.1616,2748.9067,2643.7195,52028.6914,51134.0391,66033.8438,41933.5938,3094.8000,3071.5542,3339.3728,3414.2734,66559.8281,53700.9375,47777.2109,42946.5938,3455.4678,1841.3813,3351.4429,33065.4258,41414.9648,44574.9883,91.707428,NaN,NaN,NaN
-1603.7823,-1802.3552,-1750.7450,-1679.6665,52020.5547,51366.1406,65895.4922,43459.1641,44.7482,3470.1082,-943.2436,2186.2463,66323.0078,53726.6836,47652.8906,44603.5742,1988.3441,4119.6274,3615.9087,32640.5410,42358.8125,44426.8398,91.711426,NaN,NaN,NaN
153.3106,-108.3836,308.0964,-239.1860,52069.5938,51243.8516,65918.7109,43082.2930,1363.0764,3292.9260,979.4310,2895.2214,66404.3672,53698.5898,47684.6953,44131.8633,2943.7246,3880.3298,3540.3596,32739.2910,42108.4258,44464.2773,91.715424,NaN,NaN,NaN
3729.3884,3474.6680,3574.2002,3242.0757,52053.0078,51052.5430,66048.6016,41664.5000,3261.9465,2950.4302,3886.4988,3434.1890,66611.9766,53684.6172,47797.1680,42623.7461,3517.0022,1874.3054,3299.4302,33139.3438,41234.2969,44602.2109,91.719421,NaN,NaN,NaN
3031.1199,2766.3413,2793.7222,2684.0645,52020.6445,51125.2344,66025.8672,41925.9688,3071.7107,3052.6670,3324.8442,3401.4883,66552.6094,53694.7891,47769.4766,42938.0352,3442.7944,1950.6367,3350.7051,33064.3750,41414.2031,44574.0273,91.723419,NaN,NaN,NaN
-1555.2344,-1735.5459,-1700.6324,-1665.8531,52018.7227,51363.3672,65892.9609,43456.6406,5.4538,3468.8789,-1015.1268,2156.1162,66320.1484,53724.1367,47650.3633,44601.1836,1886.0178,4118.0405,3598.5190,32636.6523,42354.6328,44422.7031,91.727417,NaN,NaN,NaN
-3161.7659,-3209.9116,-3164.2468,-3293.9766,52044.3359,51426.8477,65828.9063,44115.1016,-2323.7991,3603.2351,-2955.2581,860.8327,66233.7188,53724.5625,47599.4453,45283.4688,558.1007,4711.7700,3685.0872,32450.6191,42749.4297,44360.7227,91.731415,NaN,NaN,NaN
196.7847,-126.8908,375.7999,-271.6631,52062.3281,51236.2969,65911.4063,43077.7539,1416.8771,3276.9221,1024.0452,2904.4973,66397.8203,53692.7344,47677.6758,44126.8125,2956.4875,3869.6008,3537.7000,32737.9727,42109.0742,44463.0703,91.735413,NaN,NaN,NaN
3731.5789,3464.4756,3580.5481,3227.1001,52050.5938,51049.3945,66045.5781,41663.4063,3265.6121,2945.4680,3889.0469,3432.0654,66609.5781,53682.4297,47794.5781,42623.2344,3516.2869,1785.9938,3298.3796,33138.1602,41234.0703,44600.7383,91.739410,NaN,NaN,NaN
3041.5581,2776.6230,2803.0874,2693.7874,52026.6133,51129.9727,66030.5391,41931.8281,3086.1499,3063.4407,3334.8579,3414.5864,66557.6797,53699.4844,47774.6406,42945.2773,3460.2734,1839.1461,3351.6663,33066.2773,41415.8594,44575.2539,91.743408,NaN,NaN,NaN
-1541.8679,-1722.8276,-1688.8754,-1651.8162,52017.4922,51361.6914,65891.6641,43455.8789,39.8085,3458.9099,-995.0773,2220.3774,66320.4844,53724.8086,47650.0078,44600.6484,2035.7744,4111.4468,3616.7803,32641.9727,42359.7070,44427.7109,91.747406,NaN,NaN,NaN
-3178.7756,-3224.3062,-3181.4131,-3307.4099,52046.0117,51428.0781,65830.2188,44117.8281,-2274.7593,3600.8882,-2963.1260,861.5032,66235.6563,53726.9961,47601.3008,45286.8242,609.3756,4716.0840,3727.1086,32454.3750,42754.1484,44364.6797,91.751404,NaN,NaN,NaN
101.2087,-203.5350,282.4590,-322.3345,52065.1445,51238.1758,65913.1016,43081.9336,1407.3329,3284.9463,985.6225,2910.8228,66398.8906,53694.3633,47679.3555,44132.1992,2953.8276,3878.6758,3538.1470,32735.4922,42108.0234,44460.7266,91.755402,NaN,NaN,NaN
3708.4895,3445.8342,3556.6318,3216.8853,52041.7422,51040.1602,66036.5703,41656.0508,3250.1448,2931.0513,3874.9878,3423.3484,66600.5547,53674.2930,47785.7695,42615.5234,3512.5989,1862.8167,3293.3284,33132.5039,41229.3555,44595.1719,91.759399,NaN,NaN,NaN
3034.8975,2785.4297,2809.6365,2711.8252,52023.9727,51126.7070,66027.6328,41929.1445,3070.3250,3058.4785,3325.6936,3401.3767,66554.7734,53697.0703,47772.0000,42942.5703,3442.9063,1928.3296,3349.9453,33064.3984,41414.2266,44573.5781,91.763397,NaN,NaN,NaN
-1554.3179,-1715.1610,-1683.9357,-1633.7783,52023.0781,51366.1172,65896.4531,43461.4922,-12.6511,3470.8235,-1014.1880,2173.1035,66324.5078,53728.9883,47654.5664,44607.0156,1948.9155,4117.4819,3617.4731,32642.3086,42360.8672,44428.3359,91.767395,NaN,NaN,NaN
-3166.0127,-3214.6501,-3168.1362,-3299.2961,52042.5938,51424.5000,65826.9609,44115.6133,-2313.3384,3593.4004,-2943.7917,845.6559,66232.5078,53724.3594,47598.1055,45284.4766,632.8449,4716.5308,3727.3320,32453.6816,42754.8164,44364.5898,91.771393,NaN,NaN,NaN
166.7216,-160.0161,347.3237,-312.0527,52064.5664,51237.9297,65912.5859,43082.8984,1431.8080,3282.5994,1044.9216,2894.1262,66398.1094,53694.2305,47678.9297,44133.2500,2949.6702,3871.8137,3539.8679,32735.3809,42109.7461,44461.5313,91.775391,NaN,NaN,NaN
3726.7732,3459.0442,3574.8931,3217.9358,52050.3477,51048.1641,66044.5547,41665.4141,3264.4946,2947.0774,3888.1753,3431.8643,66607.2813,53681.2422,47792.9453,42625.4219,3517.4492,1815.6545,3297.4187,33134.6953,41233.4023,44598.4570,91.779388,NaN,NaN,NaN
3045.6040,2773.0466,2806.0378,2691.1277,52023.3477,51126.0391,66027.4531,41928.5859,3086.9771,3054.7234,3340.6692,3404.7070,66554.0156,53696.5977,47771.1094,42941.4102,3456.3396,1944.2217,3352.4934,33065.3594,41416.0820,44575.5898,91.783386,NaN,NaN,NaN
-1537.2412,-1730.4720,-1683.4216,-1650.1622,52026.6797,51370.2969,65900.4531,43464.6211,-26.5315,3473.3938,-985.7566,2092.8608,66328.0625,53732.7188,47658.3672,44610.0352,1871.1538,4123.5840,3611.6619,32645.7051,42364.7578,44432.7617,91.787384,NaN,NaN,NaN
