Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp,Event,EventFile,EventTime
153241.6250,166160.2656,151733.2188,160340.0469,187500.0000,187500.0000,187500.0000,187500.0000,149591.6875,149683.2188,157540.5156,155344.0781,187500.0000,171523.2344,187500.0000,175322.5781,159004.4688,158151.7500,136956.1250,187500.0000,187500.0000,187500.0000,28.387054,NaN,NaN,NaN
153241.6250,166160.2656,151733.2188,160340.0469,187500.0000,187500.0000,187500.0000,187500.0000,149591.6875,149683.2188,157540.5156,155344.0781,187500.0000,171523.2344,187500.0000,175322.5781,159004.4688,158151.7500,136956.1250,187500.0000,187500.0000,187500.0000,28.391052,NaN,NaN,NaN
153219.3281,166152.8281,151716.4844,160357.9531,187500.0000,187500.0000,187500.0000,187500.0000,149580.1719,149675.9063,157523.0000,155343.3438,187500.0000,171524.3750,187500.0000,175345.0000,158995.2813,158148.0469,136985.0313,187500.0000,187500.0000,187500.0000,28.395050,NaN,NaN,NaN
152759.7969,163447.1406,151978.9531,159263.8125,187500.0000,187500.0000,187500.0000,187500.0000,149942.9688,149905.4375,157975.5469,155063.2344,187500.0000,171528.0781,187500.0000,175267.0156,158576.4844,157845.2813,136996.8281,187500.0000,187500.0000,187500.0000,28.399048,NaN,NaN,NaN
152450.6719,161599.4219,152154.7969,158481.8125,187500.0000,187500.0000,187500.0000,187500.0000,150185.9063,150051.9063,158282.4375,154862.5781,187500.0000,171526.3906,187500.0000,175184.6719,158291.3906,157633.5781,136963.1250,187500.0000,187500.0000,187500.0000,28.403046,NaN,NaN,NaN
152450.6719,161599.4219,152154.7969,158481.8125,187500.0000,187500.0000,187500.0000,187500.0000,150185.9063,150051.9063,158282.4375,154862.5781,187500.0000,171526.3906,187500.0000,175184.6719,158291.3906,157633.5781,136963.1250,187500.0000,187500.0000,187500.0000,28.407043,NaN,NaN,NaN
152735.9688,163350.9844,151961.6563,159152.1563,187500.0000,187500.0000,187500.0000,187500.0000,149930.7969,149876.5156,157966.3438,155026.6250,187500.0000,171517.8281,187500.0000,175211.4531,158558.3125,157822.0469,136922.7344,187500.0000,187500.0000,187500.0000,28.411041,NaN,NaN,NaN
153172.2344,166031.9063,151684.4531,160246.2031,187500.0000,187500.0000,187500.0000,187500.0000,149558.4375,149654.1563,157501.5469,155307.0938,187500.0000,171521.8750,187500.0000,175311.0313,158958.7656,158110.3750,136915.7656,187500.0000,187500.0000,187500.0000,28.415039,NaN,NaN,NaN
153160.6094,166057.8750,151671.0938,160280.5313,187500.0000,187500.0000,187500.0000,187500.0000,149547.8750,149661.3281,157486.3438,155314.5313,187500.0000,171527.0781,187500.0000,175340.9063,158952.5938,158108.7188,136943.2813,187500.0000,187500.0000,187500.0000,28.419037,NaN,NaN,NaN
152696.3594,163355.1719,151925.2656,159182.5938,187500.0000,187500.0000,187500.0000,187500.0000,149902.3906,149873.2656,157930.2031,155028.3125,187500.0000,171524.6875,187500.0000,175254.9219,158535.4219,157807.0938,136955.1875,187500.0000,187500.0000,187500.0000,28.423035,NaN,NaN,NaN
152386.3438,161488.5313,152105.4688,158394.2969,187500.0000,187500.0000,187500.0000,187500.0000,150151.3281,150021.6250,158243.3438,154828.5625,187500.0000,171525.1875,187500.0000,175174.1094,158249.1563,157594.8594,136923.4219,187500.0000,187500.0000,187500.0000,28.427032,NaN,NaN,NaN
