Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,AFz,Cpz,POz,TimeStamp
-619.3892,3731.1765,4547.0151,3142.8115,-1504.3617,-698.5814,-698.5814,-698.5814,3708.9143,3708.9143,4553.8550,4553.8550,3216.1477,3216.1477,3387.9209,3387.9209,3418.9226,3711.1494,3994.7708,3788.5981,3362.3728,3402.5166,3706.321533
3999.2634,3790.3640,3364.7422,3403.7905,3703.8403,3996.0000,3803.0820,3380.3435,3408.6633,3705.4497,3995.6648,3801.4951,3386.1550,3693.2234,3999.2410,3810.1453,3391.6760,3412.0161,3697.4924,3989.8086,3807.9324,3406.4504,3697.917236
3997.7881,3810.1899,3360.6741,3390.5137,3687.3000,3813.4980,3390.9829,3688.7529,3988.5793,3812.0898,3355.5332,3372.4312,3677.5994,3990.7698,3383.9646,3400.3931,3679.6782,3984.7795,3826.7974,3399.0520,3397.9790,3684.5286,3993.206055
3822.8857,3822.8857,3822.8857,3404.4612,3404.4612,3402.3601,3402.3601,3672.6821,3672.6821,92746.3438,92746.3438,92470.0156,92739.8906,93175.5469,93214.7734,92751.0000,92465.2109,92733.2031,93175.1016,93212.0938,92747.3984,92465.7656,92725.492188
93165.6641,93216.8281,92748.3359,92459.3047,92720.8203,93158.3984,93209.6953,92752.9844,92709.0234,93158.6719,93214.9531,92749.9453,92455.4375,92706.8750,93144.2109,93206.6172,92447.0547,92700.0156,93142.8203,93204.0000,92748.8750,92445.2656,92686.398438
93202.1016,92743.8438,92687.8281,93129.4531,93201.9844,92750.2578,92433.4922,92675.3359,93126.8438,92748.7422,92439.8594,92670.2656,93113.0078,93201.8984,92749.6797,92428.6172,92668.2031,93114.0781,93194.0078,93194.0078,93194.0078,92751.1953,92751.195313
92430.4531,92430.4531,92655.8672,92655.8672,87317.8906,87317.8906,87299.9219,87879.3906,88428.5078,88096.6484,87325.3828,87296.4766,87874.1797,88431.2969,88098.0156,87321.1094,87293.7734,87862.6484,88420.3438,88103.1719,87318.0000,87279.0625,87847.898438
88407.5156,88094.5000,87318.3828,87830.6172,88408.5469,88105.0313,87317.4219,87270.4609,87831.8672,88398.0625,88101.7891,87260.4453,87821.8750,88394.9297,88098.3047,87312.9297,87253.0938,87803.0156,88098.2344,87307.4766,87801.5391,88382.6406,88103.843750
87315.3906,87238.9688,87790.1406,88380.4688,87308.7500,87235.9297,87773.7813,88359.3281,88100.4922,87304.6797,87218.2500,87767.3203,88361.6719,88099.3516,88099.3516,88099.3516,87310.7578,87310.7578,87222.6484,87222.6484,87756.9219,87756.9219,106594.171875
106594.1719,106691.2656,106518.8672,106409.4766,106464.7734,106592.2891,106685.0547,106515.6719,106410.4609,106457.9375,106581.9453,106684.0938,106509.8594,106400.5781,106458.5391,106575.9297,106675.9531,106509.0547,106393.8281,106446.5547,106574.5469,106499.0156,106394.476563
